CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,P1,P2,P3,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,ST1,ST2,ST2_B,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,PF1,PF3,PF4,PF5,PF6,PF7,PF8
55,Terni,32,Terni,55032,550320000540,35,14,21,2,2,1,3,2,0,1,2,2,6,2,5,1,0,1,5,0,1,1,1,0,0,1,1,0,3,2,2,1,0,0,1,2,1,0,2,2,0,0,1,2,3,0,3,0,0,1,4,32,13,19,3,4,12,7,6,1,1,4,5,2,2,3,8,2,4,12,8,4,4,23,6,2,11,1,2,12,5,12,8,4,2,0,2,1,1,0,0,0,0,2,0,2,1,1,0,0,0,0,1,1,0,0,0,0,14,4,3,4,2,1,0
55,Terni,32,Terni,55032,550320000541,6,2,4,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,6,2,4,1,1,0,3,1,0,0,0,2,0,1,1,0,1,1,1,1,0,1,1,3,0,1,1,1,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,0
55,Terni,32,Terni,55032,550320000543,29,13,16,0,0,0,1,0,2,0,0,0,0,2,3,1,4,4,12,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,6,0,0,0,0,0,1,0,0,0,0,0,3,1,3,2,6,29,13,16,4,10,11,4,0,0,6,5,2,0,4,4,6,2,0,4,2,2,0,8,20,0,4,9,0,4,11,3,2,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,19,13,3,2,1,0,0
55,Terni,32,Terni,55032,550320000545,6,2,4,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,6,2,4,0,3,3,0,0,0,1,1,0,0,0,2,2,0,0,2,1,1,0,2,3,0,1,1,0,1,2,2,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,2,0,0,1,0,0
55,Terni,32,Terni,55032,550320000547,16,6,10,0,1,1,0,0,0,1,0,1,3,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,1,1,0,0,0,1,0,1,2,1,0,0,1,1,1,15,6,9,0,4,4,6,1,0,1,2,3,0,0,3,2,3,1,5,3,2,2,8,5,0,4,2,2,4,3,5,3,2,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,9,3,5,1,0,0,0
55,Terni,32,Terni,55032,550320000549,39,19,20,0,0,0,0,3,4,2,1,1,4,4,4,2,2,2,10,0,0,0,0,1,2,2,1,0,2,2,1,2,1,1,4,0,0,0,0,2,2,0,0,1,2,2,3,0,1,1,6,39,19,20,0,9,7,18,5,0,3,6,8,2,0,6,1,10,3,15,11,4,0,23,14,0,13,6,0,10,8,15,11,4,2,0,2,1,1,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,18,4,10,3,0,0,1
55,Terni,32,Terni,55032,550320000551,64,33,31,0,1,4,2,2,2,1,3,1,1,18,3,4,3,5,14,0,0,2,2,1,1,0,2,0,1,8,2,4,2,2,6,0,1,2,0,1,1,1,1,1,0,10,1,0,1,3,8,64,33,31,2,15,21,18,8,0,6,14,8,5,2,9,7,10,3,20,12,8,5,32,22,2,18,10,3,14,12,15,9,6,5,3,2,0,5,0,3,1,2,2,2,0,0,5,0,0,3,0,0,2,0,5,3,2,38,21,12,2,2,1,0
55,Terni,32,Terni,55032,550320000553,13,6,7,1,0,0,0,1,0,1,0,0,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,12,6,6,0,1,4,6,1,0,0,4,2,0,0,1,0,4,1,6,4,2,1,8,4,0,6,0,1,2,4,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0
55,Terni,32,Terni,55032,550320000555,25,12,13,0,0,0,0,2,2,0,1,2,0,0,4,8,2,0,4,0,0,0,0,1,1,0,0,2,0,0,0,5,2,0,1,0,0,0,0,1,1,0,1,0,0,0,4,3,0,0,3,25,12,13,1,3,9,7,5,0,1,4,5,2,1,2,5,2,3,9,6,3,0,19,6,0,9,3,0,10,3,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,6,0,2,0,0
55,Terni,32,Terni,55032,550320000557,20,11,9,0,1,1,0,1,1,1,1,1,0,1,2,1,1,0,8,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,4,19,10,9,2,9,3,4,1,0,4,3,2,1,2,5,0,2,0,8,5,3,2,8,8,1,6,4,1,2,4,7,5,2,2,0,2,0,0,2,2,0,2,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,9,3,3,1,2,0,0
55,Terni,32,Terni,55032,550320000559,31,22,9,1,2,4,0,2,1,1,1,3,1,2,4,2,3,1,3,1,2,4,0,1,0,1,1,2,1,1,3,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,2,28,19,9,4,3,10,9,2,4,1,7,6,1,0,2,3,3,1,13,9,4,4,15,7,4,10,4,0,5,3,12,8,4,5,4,1,4,1,0,0,0,0,5,4,1,3,2,0,3,1,0,0,1,0,1,1,0,15,6,5,2,1,1,0
55,Terni,32,Terni,55032,550320000562,221,108,113,4,4,8,13,14,13,10,8,5,26,14,19,12,18,15,38,3,1,6,7,10,7,4,6,3,13,5,9,4,10,7,13,1,3,2,6,4,6,6,2,2,13,9,10,8,8,8,25,215,104,111,6,30,74,82,23,2,7,39,47,9,4,23,35,35,14,86,51,35,12,125,70,7,64,30,5,61,40,80,47,33,14,7,7,5,7,2,11,5,6,3,2,1,4,9,1,3,4,0,1,5,1,6,4,2,99,36,27,19,11,6,0
55,Terni,32,Terni,55032,550320000563,162,81,81,2,7,2,4,8,14,14,9,5,9,12,16,14,10,11,25,1,4,1,4,3,8,9,7,3,6,2,8,6,4,6,9,1,3,1,0,5,6,5,2,2,3,10,8,8,6,5,16,157,79,78,9,21,46,69,12,6,9,32,27,5,3,12,14,42,7,64,36,28,9,69,43,4,34,19,5,35,24,41,21,20,41,24,17,11,21,9,10,2,8,31,22,9,2,36,3,2,22,0,0,14,3,23,15,8,72,29,20,14,7,2,0
55,Terni,32,Terni,55032,550320000564,416,200,216,8,10,31,27,27,15,26,17,25,43,22,17,28,22,32,66,5,5,18,13,15,9,15,7,14,20,8,8,14,6,15,28,3,5,13,14,12,6,11,10,11,23,14,9,14,16,17,38,401,191,210,14,60,127,160,40,5,29,72,67,18,9,31,55,93,22,143,75,68,45,216,119,25,100,49,20,116,70,132,68,64,36,26,10,18,17,1,14,6,8,22,20,2,4,31,1,3,23,0,1,8,1,11,7,4,167,44,51,43,24,4,1
55,Terni,32,Terni,55032,550320000565,298,152,146,7,8,12,14,14,16,13,16,13,22,29,26,25,21,19,43,1,7,8,6,6,9,10,6,7,10,13,17,12,6,10,24,6,1,4,8,8,7,3,10,6,12,16,9,13,15,9,19,285,145,140,3,50,83,107,42,2,22,49,55,17,1,28,34,52,25,116,67,49,25,174,83,14,90,40,11,84,43,110,64,46,16,8,8,7,7,2,8,4,4,8,4,4,2,14,0,2,6,0,0,8,0,6,3,3,132,41,42,29,17,1,2
55,Terni,32,Terni,55032,550320000566,438,206,232,29,25,22,17,19,17,24,41,37,32,41,32,21,25,15,41,18,11,11,6,12,5,14,14,17,13,21,17,12,9,7,19,11,14,11,11,7,12,10,27,20,19,20,15,9,16,8,22,392,184,208,17,50,98,174,53,11,22,54,82,15,6,28,44,92,38,195,103,92,71,251,81,36,116,35,35,135,46,179,92,87,35,19,16,8,25,2,20,6,14,15,13,2,5,30,0,4,15,0,1,15,0,16,11,5,194,66,53,47,24,3,1
