PRO_COM,SEZ,P1,SHAPE_Area
55032,413,47,6677.2022104
55032,143,127,7868.55078585
55032,91,62,3165.01223048
55032,218,180,5442.05706618
55032,313,177,13189.8614419
55032,425,213,19592.1737551
55032,341,23,2611.96537791
55032,141,20,1075.76289715
55032,252,104,7663.19177359
55032,86,245,13485.9387435
55032,281,405,16956.1332344
55032,279,7,2730.44713288
55032,285,30,11155.5142761
55032,428,386,60386.0763057
55032,488,77,94183.9963508
55032,412,10,15348.334214
55032,116,37,2389.20315741
55032,786,43,37159.8747613
55032,267,480,32076.7131024
55032,775,125,361288.459787
55032,277,186,27709.1104959
55032,395,270,36459.9579085
55032,792,40,328288.65838
55032,518,217,21628.7856217
55032,483,280,35000.1251076
55032,701,31,30847.0425737
55032,255,197,9727.21846829
55032,691,20,9697.56535642
55032,790,20,16657.0309586
55032,511,24,28447.432941
55032,695,34,37750.1202049
55032,807,12,16112.3418289
55032,455,436,46184.574573
55032,48,110,4330.96389128
55032,615,1369,340128.288574
55032,778,32,627351.522333
55032,478,115,16955.8035383
55032,611,467,161454.279069
55032,347,21,2118.55680055
55032,246,133,80256.5581142
55032,66,39,3934.97324795
55032,504,21,18137.8633924
55032,385,42,88233.4525184
55032,456,252,63650.5087677
55032,739,441,151255.821693
55032,477,42,16419.0973906
55032,735,3,5647.81478407
55032,715,96,1473863.2963
55032,70,10,19094.7214647
55032,260,65,194987.441891
55032,8,6,1696.14726934
55032,291,766,51892.0530461
55032,520,226,33867.6837094
55032,361,235,31805.7576046
55032,109,129,8989.0204140500009
55032,610,398,60313.1390565
55032,632,6,3880.29295909
55032,269,333,43006.5033252
55032,282,230,28299.9059736
55032,670,15,15370.7587403
55032,409,147,28642.7834736
55032,641,26,9194.69373373
55032,84,58,4178.54583094
55032,138,157,14194.2814686
55032,754,104,99926.6243798
55032,720,31,10370.428566
55032,697,25,35854.9131519
55032,300,481,17438.0365532
55032,747,90,8767.6390761
55032,750,44,13559.2599674
55032,406,77,13651.3352998
55032,767,145,92522.1491989
55032,694,90,74434.2749151
55032,178,123,9201.1994897
55032,326,16,95535.1059085
55032,283,130,47723.1542883
55032,705,291,137591.032083
55032,460,417,66422.4401001
55032,467,551,162510.356028
55032,606,37,19275.1512788
55032,389,263,131952.135679
55032,628,150,74090.06371050002
55032,613,814,438955.239851
55032,557,20,6433.17296709
55032,656,498,54240.8128776
55032,482,249,34355.5273477
55032,797,43,30021.3312731
55032,397,38,8210.82321979
55032,667,166,72928.2027509
55032,292,90,3509.8843648
55032,358,9,4341.38512751
55032,459,62,126993.136011
55032,566,438,142190.183219
55032,751,182,124673.694681
55032,616,237,294175.315525
55032,379,21,114193.018205
55032,427,98,11871.3529507
55032,472,239,64722.9874307
55032,690,61,50037.5803394
55032,445,19,44331.4189002
55032,798,59,50837.6621729
55032,631,7,4417.80473225
55032,776,27,304634.251298
55032,51,169,17060.9771357
55032,530,14,25395.7517886
55032,309,336,28073.6318981
55032,410,199,28662.227962
55032,492,10,18368.9996969
55032,574,13,7901.51624952
55032,259,2,239388.311505
55032,390,200,19544.5468104
55032,665,275,129399.898314
55032,270,216,22811.3252577
55032,401,107,9342.62359762
55032,338,2,3412.74985998
55032,564,416,109656.925186
55032,499,20,49906.4250289
55032,545,6,17091.3416139
55032,541,6,22129.2147197
55032,693,27,23687.5456597
55032,543,29,28987.9349691
55032,549,39,37641.9281509
55032,536,21,11109.5639685
55032,148,217,11837.3079199
55032,719,38,9425.36582323
55032,177,46,7243.82758634
55032,222,83,11211.5273099
55032,54,135,6865.9685222
55032,367,95,8252.93524928
55032,45,111,7274.34643452
55032,197,168,8526.96512008
55032,10,53,5075.94857316
55032,60,333,8754.08023373
55032,39,20,2005.20661042
55032,627,505,100882.077827
55032,166,48,3890.75626831
55032,795,117,35138.9847508
55032,528,92,9330.04011376
55032,748,50,53257.0211636
55032,663,248,64847.7764156
55032,569,158,48581.8095588
55032,146,4,2077.0939934
55032,276,38,5096.63281083
55032,57,154,8236.72610032
55032,364,98,11341.4184208
55032,394,59,7801.36479605
55032,372,269,16623.1609748
55032,640,60,17240.9752335
55032,229,84,8525.37122053
55032,507,41,98211.2109806
55032,800,35,48121.6673398
